level,move_limit,boss_seconds,production_random_wins_of_20,production_visible_wins_of_20,production_visible_median_moves,production_visible_median_unused,sensitivity_random_wins_of_20,sensitivity_visible_wins_of_20
1,25,,20,20,7,19,20,20
2,25,,20,20,6,19,20,20
3,26,,20,20,6,21,20,20
4,29,,20,20,6,24,20,20
5,29,,20,20,9,20,20,20
6,29,,20,20,12,18,20,20
7,29,,20,20,12,17,20,20
8,26,,20,20,3,23,20,20
9,23,,20,20,7,16,20,20
10,27,60,20,20,10,17,20,20
11,24,,20,20,8,17,20,20
12,25,,20,20,8,17,20,20
13,26,,20,20,11,16,20,20
14,26,,19,20,11,16,20,20
15,27,,20,20,11,16,19,20
16,24,,20,20,4,20,20,20
17,22,,20,20,9,13,20,20
18,22,,20,20,10,13,20,20
19,19,,20,20,5,14,20,20
20,18,60,19,20,11,7,19,20
21,23,,20,20,7,17,20,20
22,24,,20,20,8,16,20,20
23,25,,20,20,6,20,20,20
24,25,,20,20,10,16,20,20
25,26,,20,20,8,18,20,20
26,23,,20,20,12,11,20,20
27,24,,20,20,8,16,20,20
28,24,,19,20,13,11,19,20
29,25,,20,20,10,15,20,20
30,26,60,20,20,9,18,20,20
31,23,,20,20,7,17,20,20
32,23,,20,20,8,15,20,20
33,20,,19,20,11,10,20,20
34,17,,17,20,12,5,17,20
35,18,,15,18,14,5,15,20
36,22,,19,20,14,9,19,20
37,23,,18,20,11,12,19,20
38,23,,20,20,6,18,19,20
39,24,,19,20,10,15,20,20
40,25,60,20,20,10,15,20,20
41,25,,20,20,7,18,18,20
42,22,,19,20,8,14,20,20
43,26,,19,20,10,16,19,20
44,27,,20,20,11,17,20,20
45,26,,20,20,12,14,20,20
46,24,,20,20,8,16,19,20
47,23,,20,20,12,12,19,20
48,23,,20,20,10,13,20,20
49,24,,20,20,14,10,19,20
50,27,90,16,19,20,7,14,20
51,44,,20,20,14,30,20,20
52,47,,20,20,15,32,20,20
53,46,,20,20,13,34,20,20
54,45,,20,20,15,31,20,20
55,44,,20,20,14,30,20,20
56,41,,20,20,14,27,20,20
57,42,,20,20,9,33,20,20
58,41,,20,20,14,27,20,20
59,40,,20,20,15,25,20,20
60,38,90,20,20,16,22,20,20
61,48,,20,20,12,36,20,20
62,47,,20,20,16,32,20,20
63,46,,20,20,13,33,20,20
64,46,,20,20,12,34,20,20
65,45,,20,20,13,32,20,20
66,44,,20,20,17,28,20,20
67,44,,20,20,14,30,20,20
68,41,,20,20,12,29,20,20
69,41,,20,20,15,26,20,20
70,39,75,20,20,16,23,20,20
71,46,,20,20,10,36,20,20
72,45,,20,20,16,29,20,20
73,44,,20,20,14,30,20,20
74,44,,20,20,15,29,20,20
75,43,,20,20,11,34,20,20
76,42,,20,20,15,28,20,20
77,42,,20,20,11,31,20,20
78,39,,20,20,21,19,20,20
79,39,,20,20,17,22,20,20
80,37,80,19,20,15,22,20,20
81,44,,20,20,12,34,20,20
82,43,,20,20,14,29,20,20
83,42,,20,20,12,31,20,20
84,42,,20,20,11,31,20,20
85,41,,20,20,10,31,20,20
86,40,,20,20,16,24,20,20
87,40,,20,20,9,33,20,20
88,37,,18,20,19,18,19,20
89,37,,20,20,20,17,17,20
90,35,90,20,20,13,23,19,20
91,42,,20,20,9,33,20,20
92,41,,20,20,3,38,20,20
93,41,,20,20,12,29,20,20
94,40,,20,20,11,29,20,20
95,40,,20,20,13,27,20,20
96,39,,20,20,14,26,20,20
97,39,,20,20,12,28,20,20
98,36,,18,20,16,22,19,20
99,36,,20,20,17,20,19,20
100,34,90,20,20,16,18,19,20
